10:19:02 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:03 AM-> [187]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0100]Raw [21 30 31 30 30 ]
10:19:03 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:03 AM-> [31]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:03 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:03 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0100000]Raw [21 30 31 30 30 30 30 30 ]
10:19:03 AM-> [31]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:03 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:03 AM-> [62]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:03 AM-> [141]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0100]Raw [21 30 31 30 30 ]
10:19:03 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:03 AM-> [46]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:03 AM-> [32]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:03 AM-> [46]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0100000]Raw [21 30 31 30 30 30 30 30 ]
10:19:03 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:03 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:03 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:04 AM-> [156]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0100]Raw [21 30 31 30 30 ]
10:19:04 AM-> [31]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:04 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:04 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
